timestamp,participant_id,load_kw,gen_kw,battery_kwh
2016-06-10T17:45:00,household,0.18,0.0,0.0
2016-06-10T18:00:00,household,0.18,0.0,0.0
2016-06-10T18:15:00,household,0.16,0.0,0.0
2016-06-10T18:30:00,household,0.68,0.0,0.0
2016-06-10T18:45:00,household,0.44,0.0,0.0
2016-06-10T19:00:00,household,0.14,0.0,0.0
2016-06-10T19:15:00,household,0.3,0.0,0.0
2016-06-10T19:30:00,household,0.24,0.0,0.0
2016-06-10T19:45:00,household,0.2,0.0,0.0
2016-06-10T20:00:00,household,0.08,0.0,0.0
2016-06-10T20:15:00,household,0.08,0.0,0.0
2016-06-10T20:30:00,household,0.12,0.0,0.0
2016-06-10T20:45:00,household,0.16,0.0,0.0
2016-06-10T21:00:00,household,0.16,0.0,0.0
2016-06-10T21:15:00,household,0.14,0.0,0.0
2016-06-10T21:30:00,household,0.14,0.0,0.0
2016-06-10T21:45:00,household,0.14,0.0,0.0
2016-06-10T22:00:00,household,0.14,0.0,0.0
2016-06-10T22:15:00,household,0.14,0.0,0.0
2016-06-10T22:30:00,household,0.14,0.0,0.0
2016-06-10T22:45:00,household,0.12,0.0,0.0
2016-06-10T23:00:00,household,0.14,0.0,0.0
2016-06-10T23:15:00,household,0.34,0.0,0.0
2016-06-10T23:30:00,household,0.36,0.0,0.0
2016-06-10T23:45:00,household,0.14,0.0,0.0
2016-06-10T00:00:00,commercial,0.0,0.0,7.0
2016-06-10T00:15:00,commercial,1.6,0.0,6.6
2016-06-10T00:30:00,commercial,1.476,0.0,6.231
2016-06-10T00:45:00,commercial,1.524,0.0,5.85
2016-06-10T01:00:00,commercial,1.524,0.0,5.469
2016-06-10T01:15:00,commercial,1.516,0.0,5.09
2016-06-10T01:30:00,commercial,1.54,0.0,4.705
2016-06-10T01:45:00,commercial,1.664,0.0,4.289
2016-06-10T02:00:00,commercial,1.54,0.0,3.904
2016-06-10T02:15:00,commercial,1.484,0.0,3.533
2016-06-10T02:30:00,commercial,1.516,0.0,3.154
2016-06-10T02:45:00,commercial,1.616,0.0,2.75
2016-06-10T03:00:00,commercial,1.436,0.0,2.391
2016-06-10T03:15:00,commercial,1.484,0.0,2.02
2016-06-10T03:30:00,commercial,1.62,0.0,1.615
2016-06-10T03:45:00,commercial,1.24,0.196,1.354
2016-06-10T04:00:00,commercial,0.86,0.544,1.275
2016-06-10T04:15:00,commercial,0.976,0.716,1.21
2016-06-10T04:30:00,commercial,0.828,0.564,1.144
